_id,OCC_MONTH,OCC_DOW,OCC_YEAR,OCC_HOUR,FATALITIES,INJURY_COLLISIONS,FTR_COLLISIONS,PD_COLLISIONS,NEIGHBOURHOOD_158,LONG_WGS84,LAT_WGS84,geometry
610791,May,Friday,2023,8,0.0,YES,NO,NO,Regent Park (72),-79.35951036131713,43.658312997416765,MULTIPOINT ((-79.3595103609999 43.6583129970001))
610816,May,Friday,2023,15,0.0,NO,YES,NO,Roncesvalles (86),-79.43312702228971,43.64130888855724,MULTIPOINT ((-79.433127022 43.6413088890001))
610854,May,Friday,2023,15,0.0,NO,NO,YES,Annex (95),-79.3894835474489,43.66970770955897,MULTIPOINT ((-79.3894835469999 43.6697077100001))
610869,May,Friday,2023,2,0.0,YES,NO,NO,Humber Summit (21),-79.54236519998109,43.75207238680615,MULTIPOINT ((-79.5423651999999 43.752072387))
610889,May,Friday,2023,22,0.0,YES,NO,NO,Downtown Yonge East (168),-79.3767471460558,43.64940708851071,MULTIPOINT ((-79.376747146 43.6494070890001))
611091,May,Saturday,2023,13,0.0,YES,NO,NO,York University Heights (27),-79.4810472077377,43.78469496944124,MULTIPOINT ((-79.4810472079999 43.784694969))
611094,May,Saturday,2023,18,0.0,YES,NO,NO,West Humber-Clairville (1),-79.60010196059308,43.74705166122826,MULTIPOINT ((-79.600101961 43.747051661))
611099,May,Saturday,2023,21,0.0,YES,NO,NO,Kensington-Chinatown (78),-79.39462903883408,43.655767395554335,MULTIPOINT ((-79.394629039 43.655767396))
611221,May,Sunday,2023,19,1.0,NO,NO,NO,Humber Heights-Westmount (8),-79.52502135621603,43.699719071824624,MULTIPOINT ((-79.525021356 43.6997190720001))
611317,May,Sunday,2023,16,0.0,NO,YES,NO,Regent Park (72),-79.3660048573904,43.65943439853815,MULTIPOINT ((-79.366004857 43.6594343990001))
611369,May,Monday,2023,2,0.0,NO,NO,YES,Humewood-Cedarvale (106),-79.4364423932597,43.69865616677329,MULTIPOINT ((-79.4364423929999 43.6986561670001))
611377,May,Monday,2023,0,0.0,NO,YES,NO,Annex (95),-79.40369084176785,43.67266241577424,MULTIPOINT ((-79.4036908419999 43.672662416))
